Bit;SMARTS
KR1;[!#1][CH]([!#1])[!#1]
KR2;[!#1][CH]([!#1])[CH]([!#1])[!#1]
KR3;[!#1][CH]([!#1])[CH]([!#1])C([CH3])([CH3])[CH3]
KR4;[!#1][CH]([!#1])[CH](C(=O)O[CH3])C(=O)O[CH3]
KR5;[!#1][CH]([!#1])[CH]1[CH2][CH]([CH]([!#1])[!#1])[CH]([CH]1C(=O)[!#1])C(=O)[OH]
KR6;[!#1][CH]([!#1])[CH2][CH]([CH]([CH2][CH]([!#1])[!#1])C(=O)[!#1])C(=O)[!#1]
KR7;[!#1][CH]([!#1])[CH2][CH2][CH3]
KR8;[!#1][CH]([!#1])[CH2][CH2]C([!#1])([!#1])[CH3]
KR9;[!#1][CH]([!#1])[CH2]C(=N[NH]C(=S)[NH2])[CH2][CH3]
KR10;[!#1][CH]([!#1])[CH2]C(=O)[!#1]
KR11;[!#1][CH]([!#1])[CH2]C(=O)[CH2][CH3]
KR12;[!#1][CH]([!#1])[CH2]C(=O)[CH3]
KR13;[!#1][CH]([!#1])[CH2]N([!#1])[CH2][CH]([!#1])[!#1]
KR14;[!#1][CH]([!#1])[CH3]
KR15;[!#1][CH]([!#1])[N+](=O)[O-]
KR16;[!#1][CH]([!#1])[NH]C(=O)[!#1]
KR17;[!#1][CH]([!#1])[OH]
KR18;[!#1][CH]([!#1])C([!#1])([!#1])[!#1]
KR19;[!#1][CH]([!#1])C([!#1])([CH3])[CH3]
KR20;[!#1][CH]([!#1])C(=O)[!#1]
KR21;[!#1][CH]([!#1])C(=O)[CH]([!#1])[!#1]
KR22;[!#1][CH]([!#1])C(=O)[CH2]C([CH3])([CH3])[CH2]C([!#1])([!#1])[!#1]
KR23;[!#1][CH]([!#1])C(=O)[CH3]
KR24;[!#1][CH]([!#1])C(=O)[NH][NH]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH3]
KR25;[!#1][CH]([!#1])C(=O)[OH]
KR26;[!#1][CH]([!#1])C(=O)c1[cH][cH][cH][cH][cH]1
KR27;[!#1][CH]([!#1])C(=O)c1[cH][cH]c([!#1])[cH][cH]1
KR28;[!#1][CH]([!#1])C(=O)c1[cH][cH]c(Cl)[cH][cH]1
KR29;[!#1][CH]([!#1])C(=O)c1c([CH3])[cH]c([CH3])[nH]c1=O
KR30;[!#1][CH]([!#1])C(=O)c1c([CH3])[nH]c2[cH][cH][cH][cH]c12
KR31;[!#1][CH]([!#1])C(=O)c1c([OH])[cH]c([CH3])oc1=O
KR32;[!#1][CH]([!#1])C(=O)O[CH2][CH2]N([CH2][CH3])[CH2][CH3]
KR33;[!#1][CH]([!#1])c1[cH][cH][cH][cH][cH]1
KR34;[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[!#1]
KR35;[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[N+](=O)[O-]
KR36;[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[OH]
KR37;[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1Cl
KR38;[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1F
KR39;[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1N([!#1])c2[cH][cH][cH][cH]c2[CH]([!#1])[!#1]
KR40;[!#1][CH]([!#1])c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]
KR41;[!#1][CH]([!#1])c1[cH][cH][cH]c(Br)[cH]1
KR42;[!#1][CH]([!#1])c1[cH][cH][cH]n[cH]1
KR43;[!#1][CH]([!#1])c1[cH][cH][cH]o1
KR44;[!#1][CH]([!#1])c1[cH][cH][cH]s1
KR45;[!#1][CH]([!#1])c1[cH][cH]c([!#1])[cH][cH]1
KR46;[!#1][CH]([!#1])c1[cH][cH]c([!#1])o1
